id,label,type,description,code,topic_number,concept_num,objective_code
term:controlled-topology,Controlled topology,term,"Controlled topology studies maps and homotopies that are ""small"" with respect to a given control map to a metric space, providing a technical framework for surgery and h-cobordism theorems in the non-simply-connected setting. It underpins the proof of the Farrell–Jones conjecture via transfer maps.",,,,
term:curvature,Curvature,term,"Curvature measures the deviation of a geometric object from being flat: sectional curvature $K(\sigma)$ for Riemannian manifolds, Ricci curvature $\mathrm{Ric}$, and scalar curvature $R = \mathrm{tr}(\mathrm{Ric})$. Sign conditions on curvature control topology (sphere theorem, Cheeger–Gromoll split…",,,,
term:deligne-mumford-stack,Deligne–Mumford stack,term,"A Deligne–Mumford stack is an algebraic stack whose diagonal is representable and unramified, generalising schemes to allow finite automorphism groups at each point. The moduli stack $\overline{\mathcal{M}}_{g,n}$ of stable $n$-pointed genus-$g$ curves is the prototypical example.",,,,
term:derived-category,Derived category,term,"The derived category $D(\mathcal{A})$ of an abelian category $\mathcal{A}$ is obtained by formally inverting quasi-isomorphisms in the category of chain complexes. It provides the natural setting for derived functors, sheaf cohomology, and Fourier–Mukai transforms in algebraic geometry.",,,,
term:donaldson-thomas-invariant,Donaldson–Thomas invariant,term,"Donaldson–Thomas (DT) invariants count (in a virtual sense) sheaves or ideal sheaves on a Calabi–Yau threefold, encoding curve-counting data. They are related to Gromov–Witten invariants by the MNOP conjecture and to BPS state counts in string theory.",,,,
term:derived-algebraic-geometry,Derived algebraic geometry,term,"Derived algebraic geometry replaces commutative rings with simplicial commutative rings or $E_\infty$-ring spectra, allowing deformation theory and intersection theory to work without excess dimension hypotheses. It provides the correct framework for shifted symplectic structures and virtual fundame…",,,,
term:dirichlet-form,Dirichlet form,term,"A Dirichlet form is a densely defined, closed, non-negative symmetric bilinear form $\mathcal{E}$ on $L^2(\mu)$ satisfying the Markov property (the unit contraction operates). It provides an analytic counterpart to symmetric Markov processes and extends diffusion theory to fractals and metric measur…",,,,
term:donaldson-invariant,Donaldson invariant,term,Donaldson invariants are smooth 4-manifold invariants defined by counting anti-self-dual Yang–Mills connections (instantons) on principal $SU(2)$-bundles. They distinguished homeomorphic but non-diffeomorphic smooth 4-manifolds before Seiberg–Witten theory.,,,,
term:eilenberg-mac-lane-space,Eilenberg–Mac Lane space,term,"An Eilenberg–Mac Lane space $K(G,n)$ is a CW-complex with $\pi_n = G$ and all other homotopy groups trivial. These spaces represent ordinary cohomology: $[X, K(G,n)] \cong H^n(X;G)$, and they are the building blocks of the Postnikov tower.",,,,
term:elliptic-operator,Elliptic operator,term,"A linear partial differential operator $P$ of order $m$ is elliptic if its principal symbol $\sigma_m(P)(x,\xi)$ is invertible for all $\xi \neq 0$. Elliptic operators on compact manifolds have finite-dimensional kernels and cokernels, making the index well-defined.",,,,
term:enumerative-geometry,Enumerative geometry,term,"Enumerative geometry counts geometric objects (curves, surfaces, sheaves) satisfying prescribed conditions, typically producing integers or rational numbers. Modern techniques — Gromov–Witten theory, Donaldson–Thomas theory, motivic integration — place these counts in cohomological or categorical fr…",,,,
term:ergodic-theory,Ergodic theory,term,Ergodic theory studies measure-preserving dynamical systems and the statistical behaviour of orbits. The ergodic theorem of Birkhoff asserts that time averages equal space averages for ergodic systems; connections to operator algebras arise via the von Neumann mean ergodic theorem.,,,,
term:exotic-sphere,Exotic sphere,term,An exotic sphere is a smooth manifold homeomorphic but not diffeomorphic to the standard $S^n$. Milnor constructed the first examples on $S^7$ in 1956; their classification uses surgery theory and is related to the image of the J-homomorphism in stable homotopy theory.,,,,
term:farrell-jones-conjecture,Farrell–Jones conjecture,term,The Farrell–Jones conjecture asserts that the assembly map $H_*^G(\mathcal{E}_{\mathcal{VC}}G; \mathbf{K}_R) \to K_*(RG)$ (and its L-theory analogue) is an isomorphism for every group $G$ and every ring $R$. It implies the Borel and Novikov conjectures for torsion-free groups.,,,,
term:floer-homology,Floer homology,term,Floer homology is a family of infinite-dimensional Morse theories: instanton Floer homology counts anti-self-dual connections on 4-manifolds with boundary; Heegaard Floer and monopole Floer homologies are 3-manifold invariants. They categorify classical invariants and appear in mirror symmetry.,,,,
term:functor-of-points,Functor of points,term,"In algebraic geometry, a scheme $X$ is understood via its functor of points $h_X\colon \mathbf{Sch}^\mathrm{op}\to \mathbf{Set}$, $S\mapsto X(S) = \mathrm{Hom}(S,X)$. This perspective generalises to algebraic stacks and derived geometry by replacing $\mathbf{Set}$ with groupoids or $\infty$-groupoid…",,,,
term:fundamental-group,Fundamental group,term,"The fundamental group $\pi_1(X,x_0)$ classifies loops in $X$ based at $x_0$ up to homotopy, with composition given by concatenation. It is the first in the sequence of homotopy groups and governs covering space theory and the van Kampen theorem.",,,,
term:gamma-convergence,Γ-convergence,term,$\Gamma$-convergence is a notion of variational convergence for functionals $F_\varepsilon \colon X \to \overline{\mathbb{R}}$ such that minimisers of $F_\varepsilon$ converge to minimisers of the $\Gamma$-limit $F$. It is the standard tool for deriving effective energies in homogenisation and phase…,,,,
term:geometric-group-theory,Geometric group theory,term,"Geometric group theory studies groups via their actions on metric spaces, treating a finitely generated group $G$ as a metric space via the word metric on a Cayley graph. Key themes include quasi-isometry invariants, hyperbolic groups, and CAT(0) cube complexes.",,,,
term:geometric-measure-theory,Geometric measure theory,term,"Geometric measure theory (GMT) extends classical differential geometry to non-smooth objects — rectifiable sets, currents, varifolds — using measure-theoretic tools. It provides existence and regularity theory for area-minimising surfaces and is applied in minimal surface theory and shape analysis.",,,,
term:gromov-hausdorff-convergence,Gromov–Hausdorff convergence,term,"A sequence of metric spaces $(X_n, d_n)$ converges in the Gromov–Hausdorff sense to $(X,d)$ if they can be isometrically embedded into a common metric space such that $X_n$ converges to $X$ in the Hausdorff metric. This is the natural topology for studying limits of Riemannian manifolds with curvatu…",,,,
term:gromov-witten-invariant,Gromov–Witten invariant,term,"Gromov–Witten invariants count (in a virtual sense) pseudo-holomorphic curves of genus $g$ and degree $\beta$ in a symplectic manifold $X$, defined via integration over the moduli space $\overline{\mathcal{M}}_{g,n}(X,\beta)$. They encode quantum corrections to the cohomology ring, yielding the quan…",,,,
term:grove-programme,Grove programme,term,"The Grove programme seeks to classify Riemannian manifolds satisfying geometric bounds (lower curvature, upper diameter) up to diffeomorphism or homeomorphism. It uses comparison geometry, Alexandrov spaces, and equivariant techniques.",,,,
term:haagerup-property,Haagerup property,term,"A locally compact group $G$ has the Haagerup property (a-T-menability) if it admits a metrically proper continuous action by affine isometries on a Hilbert space. Groups with this property satisfy the Baum–Connes conjecture with coefficients; examples include amenable groups and $\mathrm{SL}(2,\math…",,,,
term:hardy-space,Hardy space,term,The Hardy space $H^p$ ($`0 < p < \infty`$) on the upper half-plane or disk consists of holomorphic functions whose $L^p$ means over horizontal lines (or circles) are uniformly bounded. Real Hardy spaces $H^p(\mathbb{R}^n)$ for $p \le 1$ replace $L^p$ as the natural domain for singular integrals when…,,,,
term:harmonic-analysis,Harmonic analysis,term,"Harmonic analysis studies the representation of functions and signals via superposition of basic waves, from classical Fourier series on the circle to abstract harmonic analysis on locally compact groups. Modern harmonic analysis encompasses Calderón–Zygmund theory, time-frequency analysis, and wave…",,,,
term:harmonic-map,Harmonic map,term,"A smooth map $f\colon (M,g)\to (N,h)$ between Riemannian manifolds is harmonic if it is a critical point of the Dirichlet energy $E(f)=\int_M |df|^2\,\mathrm{vol}_g$, equivalently if its tension field $\tau(f)=\mathrm{tr}\nabla df$ vanishes. Harmonic maps include geodesics, minimal immersions, and h…",,,,
term:higher-category-theory,Higher category theory,term,"Higher category theory extends ordinary category theory to $n$-categories and $\infty$-categories, where morphisms exist between morphisms at every level. The $(\infty,1)$-categorical framework (quasi-categories, complete Segal spaces) underlies derived algebraic geometry and modern homotopy theory.",,,,
term:homogenisation,Homogenisation,term,"Homogenisation is the process of deriving effective macroscopic equations from rapidly oscillating heterogeneous media, replacing $-\nabla\cdot(A(x/\varepsilon)\nabla u_\varepsilon)=f$ with an effective equation $-\nabla\cdot(A^*\nabla u)=f$ as $\varepsilon\to 0$. It relies on $\Gamma$-convergence a…",,,,
term:homotopy-coherent-diagram,Homotopy-coherent diagram,term,"A homotopy-coherent diagram is a functor from an indexing category into an $\infty$-category (or, classically, a diagram in a model category satisfying coherence conditions up to homotopy). It replaces strict commutativity with higher homotopies, essential in derived and spectral settings.",,,,
term:homotopy-group,Homotopy group,term,"The $n$-th homotopy group $\pi_n(X,x_0) = [(S^n, *),(X,x_0)]$ classifies continuous maps from $S^n$ to $X$ up to based homotopy, with group structure from the co-group structure on $S^n$. Stable homotopy groups $\pi_n^s = \varinjlim_k \pi_{n+k}(S^k)$ are the coefficients of the sphere spectrum.",,,,
term:homotopy-type-theory,Homotopy type theory,term,"Homotopy type theory (HoTT) interprets types as spaces and equalities as paths, making Martin-Löf type theory into a language for $\infty$-groupoids. The univalence axiom asserts that equivalent types are equal, providing a foundation for mathematics in which isomorphic structures are identified.",,,,
term:hyperbolic-group,Hyperbolic group,term,A finitely generated group $G$ is hyperbolic in the sense of Gromov if its Cayley graph is a $\delta$-hyperbolic metric space: every geodesic triangle is $\delta$-slim. Hyperbolic groups have solvable word and conjugacy problems and satisfy the Baum–Connes and Farrell–Jones conjectures.,,,,
term:infinity-category,∞-category,term,"An $\infty$-category (quasi-category) is a simplicial set satisfying the inner horn-filling condition, generalising both categories ($n \le 1$ truncated) and Kan complexes (groupoids). Lurie's theory of $(\infty,1)$-categories provides a foundation for derived algebraic geometry and higher topos the…",,,,
term:index-theory,Index theory,term,"Index theory computes the Fredholm index $\mathrm{ind}(D) = \dim\ker D - \dim\ker D^*$ of an elliptic operator $D$ in terms of topological data. The Atiyah–Singer index theorem, its equivariant and families versions, and the coarse index are central results.",,,,
term:intersection-homology,Intersection homology,term,Intersection homology $IH^*_{\bar p}(X)$ is a homology theory for singular spaces (stratified pseudomanifolds) that satisfies Poincaré duality by imposing perversity conditions $\bar p$ on how chains may intersect the singular locus. It agrees with ordinary homology on manifolds and underlies the de…,,,,
term:j-homomorphism,J-homomorphism,term,"The J-homomorphism $J\colon \pi_n(SO) \to \pi_n^s$ maps the homotopy groups of the stable orthogonal group to the stable homotopy groups of spheres, detecting elements arising from the action of $SO(n)$ on $S^{n-1}$. Its image is related to Bernoulli numbers and exotic spheres.",,,,
term:k-theory,K-theory,term,"K-theory assigns abelian groups to rings, spaces, or C*-algebras measuring vector bundles or projective modules. Topological K-theory $K^*(X)$ and algebraic K-theory $K_*(R)$ are connected by the Atiyah–Hirzebruch spectral sequence and are central to index theory and the classification of C*-algebra…",,,,
term:kahler-manifold,Kähler manifold,term,"A Kähler manifold is a complex manifold $(M, J)$ equipped with a Riemannian metric $g$ compatible with $J$ such that the associated $(1,1)$-form $\omega = g(J\cdot,\cdot)$ is closed. Kähler geometry combines complex, Riemannian, and symplectic structures; examples include $\mathbb{CP}^n$ and smooth …",,,,
term:kasparov-kk-theory,Kasparov KK-theory,term,"Kasparov's bivariant KK-theory $KK(A,B)$ is a bifunctor on C*-algebras equipped with a Kasparov product, unifying K-theory, K-homology, and index theory in a single framework. It is the algebraic engine behind the Baum–Connes conjecture and Poincaré duality for C*-algebras.",,,,
term:l-theory,L-theory,term,"Algebraic L-theory $L_*(R)$ is the quadratic form analogue of algebraic K-theory, built from quadratic modules over a ring with involution $R$. It classifies surgery obstructions for manifolds and appears in the L-theory assembly map of the Farrell–Jones conjecture.",,,,
term:langlands-programme,Langlands programme,term,The Langlands programme is a web of far-reaching conjectures relating automorphic representations of reductive groups over number fields or function fields to Galois representations (and more generally to motives). The geometric Langlands programme reformulates these conjectures in terms of D-module…,,,,
term:locally-compact-group,Locally compact group,term,"A locally compact group is a topological group whose underlying space is locally compact and Hausdorff, admitting a (essentially unique) Haar measure. Key examples are Lie groups, $p$-adic groups, and adelic groups; their unitary representation theory is governed by the Plancherel theorem.",,,,
term:mapping-class-group,Mapping class group,term,"The mapping class group $\mathrm{Mod}(S)$ of a surface $S$ is the group of isotopy classes of orientation-preserving homeomorphisms $S \to S$. It acts properly discontinuously on Teichmüller space, with quotient the moduli space $\mathcal{M}_g$; it has connections to braid groups and quantum topolog…",,,,
term:mean-curvature-flow,Mean curvature flow,term,"Mean curvature flow evolves a hypersurface $\Sigma_t \subset \mathbb{R}^{n+1}$ by the equation $\partial_t x = H\nu$, where $H$ is the mean curvature and $\nu$ the unit normal. Singularities form in finite time; the flow is studied using monotonicity formulas, blow-up analysis, and level-set methods…",,,,
term:minimal-surface,Minimal surface,term,"A minimal surface is a surface of vanishing mean curvature, equivalently a critical point of the area functional. Classical examples include the catenoid and helicoid; existence and regularity are studied via the Plateau problem, geometric measure theory, and PDE methods.",,,,
term:model-category,Model category,term,"A model category is a category equipped with three distinguished classes of morphisms — weak equivalences, fibrations, cofibrations — satisfying Quillen's axioms, providing an abstract framework for homotopy theory. The homotopy category is obtained by formally inverting weak equivalences.",,,,
term:moduli-space,Moduli space,term,"A moduli space parameterises a class of geometric objects up to isomorphism; for example, $\mathcal{M}_g$ parameterises compact Riemann surfaces of genus $g$ and $\mathcal{M}_{g,n}$ adds $n$ marked points. Moduli spaces are studied via deformation theory, GIT quotients, and algebraic stacks.",,,,
term:motivic-cohomology,Motivic cohomology,term,"Motivic cohomology $H^{p,q}(X,\mathbb{Z})$ is a bigraded cohomology theory for algebraic varieties, constructed via algebraic cycles (Bloch's higher Chow groups). It maps to étale cohomology (Beilinson–Lichtenbaum), singular cohomology, and algebraic K-theory via the motivic spectral sequence.",,,,
term:multiscale-phenomena,Multiscale phenomena,term,"Multiscale phenomena involve coupled dynamics or geometry across widely separated length or time scales, requiring methods that bridge micro and macro descriptions. Mathematical tools include homogenisation, renormalisation group analysis, and heterogeneous multiscale methods.",,,,
term:non-commutative-geometry,Non-commutative geometry,term,"Connes's non-commutative geometry replaces a classical space by the spectral data of a Dirac-type operator on a Hilbert space module over a (possibly non-commutative) C*-algebra, recovering geometric invariants via cyclic cohomology and the local index formula. It provides a geometric framework for …",,,,
term:novikov-conjecture,Novikov conjecture,term,"The Novikov conjecture asserts that higher signatures $\langle \mathcal{L}(M)\cup f^*\alpha,[M]\rangle$ are homotopy invariants of closed oriented manifolds, for any cohomology class $\alpha \in H^*(B\pi_1(M);\mathbb{Q})$. It follows from the rational injectivity of the assembly map and from the Far…",,,,
term:operator-algebra,Operator algebra,term,"An operator algebra is an algebra of bounded (or unbounded) linear operators on a Hilbert space, closed in some operator topology. The two main classes are C*-algebras (norm-closed) and von Neumann algebras (weakly closed); they are central to quantum mechanics, ergodic theory, and non-commutative g…",,,,
term:p-adic-numbers,$p$-adic numbers,term,"The field $\mathbb{Q}_p$ of $p$-adic numbers is the completion of $\mathbb{Q}$ with respect to the $p$-adic absolute value $|x|_p = p^{-v_p(x)}$, where $v_p$ is the $p$-adic valuation. The $p$-adic integers $\mathbb{Z}_p$ form a compact open subgroup; $\mathbb{Q}_p$ is a local field fundamental to n…",,,,
term:perverse-sheaf,Perverse sheaf,term,A perverse sheaf on a stratified algebraic variety is a complex of constructible sheaves satisfying support and co-support conditions determined by the perversity; the category of perverse sheaves is the heart of the perverse t-structure on the derived category. The decomposition theorem states that…,,,,
term:poincare-duality,Poincaré duality,term,"For a closed oriented $n$-manifold $M$, Poincaré duality gives an isomorphism $H^k(M;R) \cong H_{n-k}(M;R)$ induced by capping with the fundamental class $[M]$. It generalises to Poincaré duality spaces, intersection homology for singular spaces, and Poincaré duality algebras in the derived setting.",,,,
term:probabilistic-combinatorics,Probabilistic combinatorics,term,"Probabilistic combinatorics uses probability theory — random graphs, the probabilistic method — to prove existence results and analyse typical behaviour of combinatorial structures. Erdős and Rényi's random graph $G(n,p)$ and the probabilistic method are foundational.",,,,
term:quantum-field-theory,Quantum field theory,term,"A quantum field theory (QFT) assigns operator-valued distributions (fields) to spacetime, with dynamics governed by a Lagrangian; correlation functions are the primary observables. Rigorous mathematical formulations include Wightman axioms, Haag–Kastler nets, and functorial QFT via cobordism categor…",,,,
term:quasi-isometry,Quasi-isometry,term,"A quasi-isometry between metric spaces is a map $f\colon X\to Y$ such that $\frac{1}{C}d(x,x')-C \le d(f(x),f(x'))\le Cd(x,x')+C$ and every point of $Y$ lies within $C$ of the image, for some $C>0$. Quasi-isometry is the equivalence relation of geometric group theory, preserving properties like hype…",,,,
term:random-matrix-theory,Random matrix theory,term,"Random matrix theory studies the spectral statistics of matrices with random entries (GUE, GOE, GUE ensembles). Universality results show that eigenvalue spacing distributions — governed by the Wigner semicircle law and GUE/GOE kernels — appear across diverse systems from nuclear physics to number t…",,,,
term:regularity-theory,Regularity theory,term,"Regularity theory in PDEs studies how much smoothness solutions inherit from the data and the operator. Schauder estimates give $C^{k,\alpha}$ regularity for elliptic equations with Hölder coefficients; De Giorgi–Nash–Moser theory gives $C^{0,\alpha}$ bounds for divergence-form equations with only $…",,,,
term:riemannian-geometry,Riemannian geometry,term,"Riemannian geometry studies smooth manifolds equipped with a positive-definite inner product $g_p$ on each tangent space, varying smoothly in $p$. It provides the notions of length, angle, geodesic, curvature, and volume that underpin general relativity, comparison geometry, and geometric analysis.",,,,
term:rough-paths,Rough paths,term,"Rough path theory, due to Lyons, provides a deterministic framework for integrating and solving differential equations driven by irregular signals (paths of Hölder regularity $\alpha < 1/2$) by enhancing the path with its iterated integrals (the signature). It underpins the theory of regularity stru…",,,,
term:scalar-curvature,Scalar curvature,term,"The scalar curvature $R = g^{ij}R_{ij}$ is the trace of the Ricci tensor, the simplest local curvature invariant of a Riemannian manifold. Positive scalar curvature obstructs certain topologies (Gromov–Lawson–Rosenberg conjecture) and is studied via the Dirac operator and surgery techniques.",,,,
term:schur-functor,Schur functor,term,A Schur functor $\mathbb{S}_\lambda$ associated to a Young diagram $\lambda$ is an endofunctor of $\mathbf{Vect}$ sending a vector space $V$ to the $\lambda$-isotypic component of $V^{\otimes |\lambda|}$ under the symmetric group action. Schur functors produce all polynomial representations of $GL(V…,,,,
term:seiberg-witten-invariant,Seiberg–Witten invariant,term,Seiberg–Witten invariants are smooth 4-manifold invariants defined by counting solutions to the Seiberg–Witten equations (a system coupling a spinor and a $U(1)$ connection). They are easier to compute than Donaldson invariants and equivalent to them for simply-connected 4-manifolds by Witten's conj…,,,,
term:shimura-variety,Shimura variety,term,"A Shimura variety is a complex algebraic variety $\mathrm{Sh}(G,X) = G(\mathbb{Q})\backslash X \times G(\mathbb{A}_f)/K$ defined by a reductive group $G$ over $\mathbb{Q}$ and a Hermitian symmetric domain $X$. Shimura varieties serve as moduli spaces for abelian varieties with additional structure a…",,,,
term:singular-integral,Singular integral,term,"A singular integral is a convolution operator $Tf(x) = \mathrm{p.v.}\int K(x-y)f(y)\,dy$ where the kernel $K$ has a non-integrable singularity at the origin (e.g., the Hilbert transform, Riesz transforms). Calderón–Zygmund theory gives $L^p$ boundedness for $1 < p < \infty$ and weak $(1,1)$ estimate…",,,,
term:singular-space,Singular space,term,"A singular space is a topological or algebraic-geometric space that fails to be a manifold at some points (the singular locus). Analytic tools — intersection homology, perverse sheaves, resolution of singularities, Alexandrov geometry — extend manifold theory to this setting.",,,,
term:sle,SLE (Schramm–Loewner evolution),term,"Schramm–Loewner evolution $\mathrm{SLE}_\kappa$ is a one-parameter family of random fractal planar curves characterised by conformal invariance and the domain Markov property. It describes the scaling limits of interfaces in critical 2D statistical mechanics models (percolation, Ising, loop-erased r…",,,,
term:sobolev-space,Sobolev space,term,"The Sobolev space $W^{k,p}(\Omega)$ consists of $L^p(\Omega)$ functions whose distributional derivatives up to order $k$ also lie in $L^p(\Omega)$, with norm $\|u\|_{W^{k,p}} = \sum_{|\alpha|\le k}\|D^\alpha u\|_p$. Sobolev embedding theorems control pointwise or Hölder regularity of functions in th…",,,,
term:spectral-gap,Spectral gap,term,"The spectral gap of a Markov semigroup or Laplacian is the difference $\lambda_1 - \lambda_0$ between the smallest two eigenvalues, controlling the rate of convergence to equilibrium. Positive spectral gap implies exponential mixing and is related to Poincaré inequalities and expander graphs.",,,,
term:spectral-sequence,Spectral sequence,term,"A spectral sequence $\{E_r^{p,q}, d_r\}$ is a sequence of bigraded abelian groups with differentials $d_r\colon E_r^{p,q}\to E_r^{p+r,q-r+1}$ such that $E_{r+1} = H(E_r, d_r)$, converging (under suitable conditions) to the graded pieces of a filtered group. Spectral sequences compute cohomology of f…",,,,
term:sphere-spectrum,Sphere spectrum,term,The sphere spectrum $\mathbb{S}$ is the unit object in the symmetric monoidal $\infty$-category of spectra; its homotopy groups $\pi_n(\mathbb{S})$ are the stable homotopy groups of spheres. It plays the role of $\mathbb{Z}$ in algebra: every ring spectrum is a module over $\mathbb{S}$.,,,,
term:stable-infinity-category,Stable ∞-category,term,"A stable $\infty$-category is an $\infty$-category with a zero object in which a square is a pushout if and only if it is a pullback, making the suspension functor $\Sigma$ an equivalence. The $\infty$-derived category and the $\infty$-category of spectra are the primary examples; they provide the s…",,,,
term:stochastic-pde,Stochastic PDE,term,"A stochastic PDE (SPDE) is a partial differential equation driven by a random noise term, typically space-time white noise. Hairer's theory of regularity structures and Gubinelli–Imkeller–Perkowski's paracontrolled distributions provide rigorous solution theories for subcritical SPDEs like KPZ and $…",,,,
term:surgery-theory,Surgery theory,term,"Surgery theory classifies manifolds by cutting out embedded spheres and re-gluing to change topology, guided by the surgery obstruction in Wall's L-groups. Combined with the s-cobordism theorem, it gives a complete classification of simply-connected manifolds of dimension $\ge 5$ via the surgery exa…",,,,
term:symmetric-monoidal-category,Symmetric monoidal category,term,"A symmetric monoidal category is a category $\mathcal{C}$ with a tensor product $\otimes$, unit object $I$, and natural isomorphisms for associativity, unit, and commutativity satisfying coherence axioms. Examples include $(\mathbf{Ab},\otimes_{\mathbb{Z}})$, $(\mathbf{Vect}_k,\otimes_k)$, and the $…",,,,
